Roles,Companies,Locations,Experience,Salaries,Skills
Senior Ui/Ux Designer - Sd3,Ageas Federal Life Insurance,Mumbai (All Areas)(Lower Parel East),Na,10-14 Lacs Pa,"Figma, Ux, Ui, Ui/Ux, Ui Ux Development, Adobe Xd, Photoshop, Development"
Junior Manager / Assistant Manager Direct Tax,Ageas Federal,Mumbai (All Areas)(Lower Parel East),Na,9-12 Lacs Pa,"Direct Tax, Fatca, Tds, Taxation, Assistance, Management, Direct"
Avp Solutions And Innovation,Sbi Payments,Mumbai (All Areas)(Lower Parel),Na,Not Disclosed Yet,"Product Management, Fintech, Payment Gateways, Payments, Merchant Acquiring, Qr, Payment Solutions, Payment Domain"
Ux And Ui Designer,Sbi Payments,Mumbai (All Areas)(Lower Parel),Na,Not Disclosed Yet,"Ui/Ux, Payment Gateways, Payments, Figma, Upi Channels, Adobe Xd, End-To-End Ux Design, Design System & Governance"
Sbi Securities | Hiring For Relationship Officer | Rohini Delhi,Sbicap Securities,New Delhi,Na,Not Disclosed Yet,"Demat, Cross Sales, Selling, Account Opening, Sales And Marketing, Marketing, Relationship, Sales"
Sbi Securities | Hiring For Relationship Officer | Saharanpur,Sbicap Securities,"Hapur, Saharanpur, Meerut",Na,Not Disclosed Yet,"Demat, Cross Sales, Selling, Account Opening, Sales And Marketing, Hiring, Marketing, Sales"
Assistant Sales Manager - Kolkata,Sbi Payments,Kolkata,Na,Not Disclosed Yet,"Sales, Pos, Payments, Casa Sales, Merchant Activities, Fintech, Merchant Banking, Edc"
Sales Manager | Sbicap Securities | Pune,Sbicap Securities,Pune,Na,Not Disclosed Yet,"Capital Market, Securities Market, Investment Banking, Financial Products, Stock Market, Mutual Funds, Financial Markets, Investment Products"
"Relationship Officer Retail Sales | Trichy/ Dindugal, Nagercoil /Cbe",Sbicap Securities,"Nagercoil, Dindigul, Coimbatore(Trichy Road +1)",Na,2.5-3 Lacs Pa,"Sales, Demat Sales, Casa, Mutual Funds, Telesales, Credit Card Sales, Bank Sales, Cross Sales"
Sbicap Securities | Equity Dealer | New Delhi,Sbicap Securities,New Delhi,Na,Not Disclosed Yet,"Equity Broking, Stock Broking, Nism, Brokerage Generation, Cross Sales, Revenue Generation, Equity Derivatives, Brokerage"
Accounts Officer,Hll Lifecare,New Delhi,Na,Not Disclosed Yet,"Accounting, Receivable, Reconciliation, Accounts Payable, Payables, Auditing"
Urgent Hiring For Relationship Manager Bancassurance Federal Bank||,Ageas Federal,Bengaluru,Na,3-4.5 Lacs Pa,"Banca, Agency Channel, Bancassurance Sales, Sales, Direct Channel Sales, Bde, Life Insurance, Bfsi Sales"
Client Activation (Quality) | Sbi Cap Securities | Mumbai,Sbicap Securities,Mumbai (All Areas),Na,3-5 Lacs Pa,"Business Acquisition, Client Acquisition, Dealer Sales, Coordination, Dealing, Acquisition, Sales, Cap"
Client Activation : Client Relationship Manager,Sbicap Securities,Amravati,Na,Not Disclosed Yet,"Capital Market, Sales, Investment Banking, Portfolio Management, Financial Advisory, Wealth Management, Investment Advisory, Relationship"
Relationship Officer,Sbicap Securities,Beed(Ashti +2),Na,2.5-3 Lacs Pa,"Sales, Casa, Field Sales, Business Development, Relationship, Field, Development"
Travel Desk Executive,Ageas Federal,Mumbai (All Areas)(Lower Parel East),Na,4.5-6.5 Lacs Pa,"Travel Desk, Ticket Booking, Visa Processing, Flight Booking, Corporate Travel Management, Hotel Booking, International Ticketing, Hotel"
Urgent Hiring For Relationship Manager|Bancassurance Federal Bank||Ktm,Ageas Federal,"Pathanamthitta(Thiruvalla +2), Kottayam(Mundakayam +3), Idukki(Munnar +2)",Na,3.5-4.5 Lacs Pa,"Sales, Banca, Bde, Bfsi Sales, Insurance Sales, Bdm, B2B Sales, Business Development Management"
Home Loan Executive,Sbicap Securities,"Noida, Gurugram, Delhi / Ncr",Na,1-3 Lacs Pa,"Housing Loan, Loan Against Property, Lap Loans, Mortgage Loans, Home Loan Sales, Affordable Housing, Mortgage Sales, Home Finance"
Hiring For Relationship Officer | Raipur,Sbicap Securities,Raipur,Na,Not Disclosed Yet,"Banca Sales, Demat, Insurance Sales, Customer Care, Credit Cards, Cards, Sales, Insurance"
Assistant Manager (Counseling & Guidance),Hll Lifecare,Thiruvananthapuram,Na,Not Disclosed Yet,"Psychology, Counselling, Msw, Clinical Psychology, Medical And Psychiatric Social Work, Assistance, Management, Clinical"
Urgent Hiring - Relationship Manager - Credit Sales - Fsv,Ageas Federal,"Alleppey, Kottarakkara, Thiruvananthapuram",Na,2.75-4.25 Lacs Pa,"Insurance, Life Insurance, Home Loans, Bancassurance, Personal Loans, Banking Sales, Loan Sales, Sales"
Deputy Manager ( Is Audit ),State Bank Of India (Sbi),"Mumbai, Hyderabad",Na,Not Disclosed Yet,"Is Audit, Is Concurrent Audit, Vapt, Information Security, Cyber Security Audit, Retina, Nessus, Kali Linux"
Assistant Vice President (Is Audit) : Contractual Post,State Bank Of India (Sbi),"Mumbai, Hyderabad",Na,Not Disclosed Yet,"Is Audit, Audit Management, Cyber Security Audit, Vapt Tools, Supply Chain Cyber Risk, Data Privacy"
Home Loan Sales Executive @ Sbi Securities - Kolkata,Sbicap Securities,"Kharagpur, Tamluk, Haldia",Na,1.75-2.5 Lacs Pa,"Mortgage Loans, Home Loan Sales, Mortgage, Home Loans, Sales, Loan Sales"
Nri Relationship Manager Ii Retail Sales Ii Hyderabad,Sbicap Securities,Hyderabad,Na,3.5-6 Lacs Pa,"Nri Sales, Acquisition, Nri Account Opening, Central Nri Desk, Kyc Operations, Account Activation, Relationship, Operations"
Hiring Wealth Relationship Manager Sbi Securities | Hyderabad,Sbicap Securities,Hyderabad,Na,Not Disclosed Yet,"Investment Advisory, Hni Acquisition, Demat, Wealth Management, Nri, Advisory, Hni, Acquisition"
Quality Analyst,Sbicap Securities,Hyderabad,Na,3-5 Lacs Pa,"Dealing, Sub Dealer, Nism, Investment Portfolio, Stock Broking, Broking, Brokerage Support, Trading"
Zonal Sales Manager - Jorhat,Sbi Payments,Jorhat,Na,Not Disclosed Yet,"Sales, Pos, Payments, Merchant Activities, Lead Generation, Fintech, Merchant Banking, Edc"
Engineer - Audio Systems Machine Learning Engineer,Qualcomm,Hyderabad,0 Yrs,Not Disclosed Yet,"Python, C++, C, Tensorflow, Ml, Dsp, Cnn, Bert"
Machine Learning Engineer,Infosys,"Hybrid - Hyderabad, Pune, Bengaluru",6-10 Yrs,Not Disclosed Yet,"Data Science, Generative Ai, Machine Learning, Python, Deep Learning, Data, Science, Machine"
Machine Learning Engineer - 2,Adecco,Bengaluru(Hsr Layout),3-6 Yrs,12-22 Lacs Pa,"Natural Language Processing, Machine Learning, Deep Learning, Rag, Large Language Models, Generative Ai, Artificial Intelligence, Hugging Face Transformers"
Lead Machine Learning Engineer,Uplers,"Hybrid - Pune, Ahmedabad, Vadodara",5-10 Yrs,15-25 Lacs Pa,"Natural Language Processing, Pytorch, Tensorflow, Java, R, Generative Ai, Artificial Intelligence, Keras"
Senior Engineer- Python Automation Framework Machine Learning,Qualcomm,Hyderabad,0 Yrs,Not Disclosed Yet,"Automation Framework, Python, Automation Testing, Machine Learning, Python Framework, Rest, Css, Unit Testing"
Sr Specialist Data Scientist (Machine Learning),Att Communication Services,Bengaluru,5-10 Yrs,Not Disclosed Yet,"Statistical Modeling, Analytical, Machine Learning, Cosmos, Forecasting, Monitoring, Analytics, Downstream"
"Senior Software Engineer, Ai/Machine Learning",Google,Hyderabad,5-10 Yrs,Not Disclosed Yet,"Software Design, Networking, Artificial Intelligence, Machine Learning, Data Structures, System Design, Natural Language Processing, Business Solutions"
"Senior / Principal Machine Learning Engineer, Pytorch Engineering",Red Hat,Bengaluru,7-12 Yrs,Not Disclosed Yet,"Kubernetes, Python, Scikit-Learn, Machine Learning, Deep Learning, Software Development, Natural Language Processing, Mathematics"
Senior Software Engineer (Machine Learning),Clarivate,Noida,3-6 Yrs,Not Disclosed Yet,"Training, Automation, Scalability, Analytical, Machine Learning, Mysql, Infrastructure, Data Structures"
Ai Orchestration Developer - Machine Learning Group,Qualcomm,Bengaluru,4-9 Yrs,Not Disclosed Yet,"Python, Software Development, Tensorflow, Keras, Software Engineering, Algorithms, C++, C"
Lead Machine Learning Engineer - Ai,Avalara Technologies,Pune,6-11 Yrs,Not Disclosed Yet,"Aiml, Artificial Intelligence, Machine Learning Algorithms, Cloud Computing, Ml, Kubernetes, Continuous Integration, Python"
Engineer Iii - Machine Learning Platform,Crowdstrike,Bengaluru,8-13 Yrs,Not Disclosed Yet,"Training, Gcp, Machine Learning, Open Source, Distribution System, Monitoring, Python, Recruitment"
"Staff Engineer, Machine Learning",Nagarro,Remote,7-12 Yrs,Not Disclosed Yet,"Computer Science, Deep Learning, Version Control, Gcp, Machine Learning, Wbs, Application Development, Continuous Improvement"
Sr. Machine Learning Engineer,Fareportal,Gurugram,4-8 Yrs,Not Disclosed Yet,"Algorithms, Python, Modeling, Mathematics, Scikit-Learn, Machine Learning, Artificial Intelligence, Deep Learning"
Senior Machine Learning Engineer,Chevron India,Bengaluru,5-10 Yrs,Not Disclosed Yet,"Global Operations, Software Architecture, Data Science, Data Modeling, Analytical, Artificial Intelligence, Machine Learning, Data Structures"
Senior Machine Learning Engineer,Adobe,Bengaluru,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Adobe, Senior, Machine"
Lead Machine Learning Engineer / Lead Data Scientist,Vakilsearch,"Chennai, Bengaluru",7-10 Yrs,Not Disclosed Yet,"Generative Ai, Large Language Model, Vector Databases, Lead Data Scientist, Machine Learning, Ml Engineer, Event-Driven Architecture, Team Leadership"
Senior Machine Learning Engineer(Looking From Product Based Companies),Medtronic,Pune,7-10 Yrs,Not Disclosed Yet,"Generative Ai, Pyspark, Machine Learning, Aws, Python, Pytorch, Tensorflow, Huggingface"
"Machine Learning, Lead - Llm/Genai",Avalara Technologies,Pune,6-11 Yrs,Not Disclosed Yet,"Software Development, Debugging Software, Machine Learning, Cloud Computing, Machine Learning Algorithms, Kubernetes, Continuous Integration, Python"
Senior Ai Machine Learning Engineer,Talent Smart,"Hyderabad, Chennai, Bengaluru",5-10 Yrs,Not Disclosed Yet,"Artificial Intelligence, Machine Learning, Azure, Azure Machine Learning, Python, Machine, Intelligence, Senior"
Ai Machine Learning Engineer,Aaa Global Technologies,Hybrid - Chennai,10-15 Yrs,Not Disclosed Yet,"Bert, Llm, Lmm, Langchain, Llamaindex, Artificial Intelligence, Machine Learning, Machine"
Machine Learning Intern,Cognify Analytics Inc,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",No Fixed Duration,Unpaid,Na
"Machine Learning Compiler Engineer, Silicon",Google,Bengaluru,2-7 Yrs,Not Disclosed Yet,"C++, Networking, Artificial Intelligence, Machine Learning, Data Structures, System Design, Information Retrieval, Silicon"
"Staff Software Engineer, Machine Learning, Sports Search",Google,Bengaluru,8-13 Yrs,Not Disclosed Yet,"Networking, User Interface Designing, Artificial Intelligence, Machine Learning, System Design, Information Retrieval, Technical Lead, Natural Language Processing"
"Software Engineer Iii, Machine Learning, Home Ai Safety",Google,Bengaluru,2-7 Yrs,Not Disclosed Yet,"Data Analysis, Networking, Artificial Intelligence, Debugging, Machine Learning, Data Structures, System Design, Application Development"
"Engineer, Senior - Machine Learning",Qualcomm,Hyderabad,3-8 Yrs,Not Disclosed Yet,"C++, C, System Design, Mac, Debugging, Rest, Python, Software Development"
Staff Data Engineer - Machine Learning,Netradyne,Bengaluru,5-8 Yrs,22.5-35 Lacs Pa,"Data Engineering, Aws, Generative Artificial Intelligence, Python, Big Data Technologies, Data, Machine, Machine Learning"
"Software Engineer, Machine Learning Compilers",Google,Bengaluru,2-7 Yrs,Not Disclosed Yet,"C++, Networking, Soc, Artificial Intelligence, Machine Learning, Data Structures, System Design, Information Retrieval"
Trainers And Freelancers Google Cloud Platform- Machine Learning & Ai,Leading Client,Hybrid - Hyderabad,5-10 Yrs,Not Disclosed Yet,"Corporate Training, Training, Machine Learning, Artificial Intelligence, Gcp, Process Training, Python, Soft Skills"
Lead Machine Learning Engineer,Tek Ninjas,"Hybrid - Chennai, Bengaluru",6-11 Yrs,25-30 Lacs Pa,"Tensorflow, Azure Cloud, Scikit-Learn, Python, Pytorch, Generative Ai Tools, Fast Api, Flask Api"
Senior Engineer-Machine Learning,Qualcomm,Hyderabad,2-4 Yrs,Not Disclosed Yet,"C++, C, Kernel Development, System Design, Debugging, Cuda, Algorithms, Rest"
Data Scientist - Machine Learning / Artificial Intelligence,Leading Client,Pune,5-7 Yrs,Not Disclosed Yet,"Data Science, Mlops, Data Scientist, Artificial Intelligence, Data Visualization, Data Modeling, Data Analytics, Looker"
Data Scientist - Machine Learning/Artificial Intelligence,Leading Client,Gurugram,5-7 Yrs,Not Disclosed Yet,"Data Scientist, Data Science, Mlops, Artificial Intelligence, Data Visualization, Data Modeling, Data Analytics, Looker"
Software Engineer - Artificial Intelligence/Machine Learning,Rosemallow Technologies,Pune,8-10 Yrs,Not Disclosed Yet,"Artificial Intelligence, Tensorflow, Nlp, Generative Ai, Pytorch, Data Modeling, Data Analytics, Llm"
Software Engineer - Artificial Intelligence / Machine Learning,Rosemallow Technologies,Hyderabad,8-10 Yrs,Not Disclosed Yet,"Artificial Intelligence, Tensorflow, Nlp, Generative Ai, Pytorch, Data Modeling, Data Analytics, Llm"
Data Scientist - Machine Learning/Artificial Intelligence,Leading Client,Noida,5-7 Yrs,Not Disclosed Yet,"Machine Learning, Data Science, Mlops, Data Scientist, Artificial Intelligence, Data Visualization, Data Modeling, Data Analytics"
Software Engineer - Artificial Intelligence/Machine Learning,Rosemallow Technologies,"Ahmedabad, Any Location",8-10 Yrs,Not Disclosed Yet,"Artificial Intelligence, Tensorflow, Nlp, Generative Ai, Pytorch, Data Modeling, Data Analytics, Llm"
Software Engineer - Artificial Intelligence/Machine Learning,Rosemallow Technologies,Noida,8-10 Yrs,Not Disclosed Yet,"Artificial Intelligence, Tensorflow, Nlp, Generative Ai, Pytorch, Data Modeling, Data Analytics, Llm"
Machine Learning Physical Design Engineer,Google,Bengaluru,4-9 Yrs,Not Disclosed Yet,"Logistic Regression, Chip Design, Neural Networks, Artificial Intelligence, Cad, Machine Learning, Physical Verification, Data Structures"
Senior Machine Learning Engineer,Cognify Analytics Inc,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-7 Yrs,Not Disclosed Yet,"Computer Science, Data Analysis, Git, Version Control, Coding, Gcp, Machine Learning, Analytics"
Machine Learning Scientist,Uplers,Bengaluru,2-6 Yrs,Not Disclosed Yet,"Large Language Model, Agentic Ai, Ai Agents, Artificial Intelligence, Natural Language Processing, Aiml, Chatbots, Conversational Ai"
Machine Learning Engineer,Uplers,Bengaluru,2-6 Yrs,Not Disclosed Yet,"Large Language Model, Agentic Ai, Ai Agents, Artificial Intelligence, Natural Language Processing, Aiml, Chatbots, Conversational Ai"
Staff Engineer - Machine Learning,Qualcomm,Bengaluru,8-13 Yrs,Not Disclosed Yet,"Data Analysis, Signal Processing, Imaging, Statistics, System Engineering, Image Processing, Algorithms, Python"
Machine Learning Engineer 2,Adobe,"Noida, Bengaluru",4-7 Yrs,Not Disclosed Yet,"Graphics, C++, Image Processing, Machine Learning, Programming, Model Development, Deployment, Research"
Machine Learning Engineer,Harman International,Bengaluru,3-6 Yrs,Not Disclosed Yet,"Infotainment, Version Control, Gcp, Machine Learning, Manager Technology, Programming, Data Structures, German"
Machine Learning Engineer,Resmed,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Computer Science, People Development, Artificial Intelligence, Machine Learning, Data Collection, Workflow, Test Driven Development, Distribution System"
Machine Learning Engineer Intern,Artpark,Bengaluru,6 Months Duration,Unpaid,Na
Hiring Machine Learning Engineer,Motivity Labs,Hyderabad,3-8 Yrs,7-13 Lacs Pa,"Gcp, Machine Learning, Deep Learning, Python, Bigquery, Mlops, Git, Vertex Ai"
"Staff Engineer, Machine Learning (Immediate Joiner)",Nagarro,India,7-10 Yrs,Not Disclosed Yet,"Natural Language Processing, Machine Learning, Python, Data Science, Cloud Platform, Processing, Languages, Cloud"
"Associate Principal Engineer, Machine Learning (Immediate Joiner)",Nagarro,India,11-14 Yrs,Not Disclosed Yet,"Tensorflow, Machine Learning, Scikit-Learn, Python, Pytorch, Cloud Platform, Machine, Cloud"
Machine Learning Engineer - Ai/Ml,Avalara Technologies,Pune,5-10 Yrs,Not Disclosed Yet,"Python, Software Development, Debugging Software, Machine Learning Algorithms, Cloud Computing, Kubernetes, Microsoft Azure, Machine Learning"
Machine Learning Engineer,Asoft Global Solutions Inc.,Visakhapatnam,4-6 Yrs,Not Disclosed Yet,"Computer Science, Statistical Analysis, Data Science, Artificial Intelligence, Consulting, Machine Learning, Cloud, Deployment"
Senior Data Scientist - Artificial Intelligence / Machine Learning,Zettamine Labs,Mumbai,4-6 Yrs,Not Disclosed Yet,"Data Science, Tensorflow, Prompt Engineering, Data Scientist, Artificial Intelligence, Llm, Machine Learning, Deep Learning"
Senior Data Scientist - Artificial Intelligence/Machine Learning,Zettamine Labs,Mumbai,4-6 Yrs,Not Disclosed Yet,"Data Science, Tensorflow, Nlp, Pytorch, Data Pipeline, Data Scientist, Artificial Intelligence, Llm"
Senior Machine Learning Engineer,Uplers,Mumbai (All Areas),3-7 Yrs,Not Disclosed Yet,"Nlp, Large Language Model, Artificial Intelligence, Natural Language Processing, Neural Networks, Llm, Machine Learning, Deep Learning"
Software Engineer - Artificial Intelligence/Machine Learning,Rosemallow Technologies,Bengaluru,8-10 Yrs,Not Disclosed Yet,"Artificial Intelligence, Tensorflow, Nlp, Generative Ai, Pytorch, Data Modeling, Data Analytics, Llm"
Data Scientist - Python/ Machine Learning,Blueberry Unicorn Services,"Hyderabad, Bengaluru",6-11 Yrs,Not Disclosed Yet,"Data Science, Data Scientist, Artificial Intelligence, Data Management, Big Data, Data Modeling, Spark, Machine Learning"
Senior Data Scientist-Genai & Machine Learning,Prudent Globaltech Solutions,Hyderabad,8-13 Yrs,Not Disclosed Yet,"Machine Learning, Data Quality, Data Science, Model Development, Ml, Python, Data Analytics, Natural Language Processing"
Machine Learning Engineer - Python/Hadoop,Vayuz Technologies,Bengaluru,4-5 Yrs,Not Disclosed Yet,"Python, Tensorflow, Hadoop, Big Data, Spark, Machine Learning, Data, Machine"
"Senior Machine Learning Developer (Python, Azure Ai/Ml)",Papigen,Hybrid - Chennai,6-11 Yrs,Not Disclosed Yet,"Machine Learning, Scikit-Learn, Nlp, Azure Machine Learning, Python, Tensorflow, Azure Ml Studio, Azure Key Vault"
Artificial Intelligence/Machine Learning Engineer - Nlp,Ezeiatech,Gurugram,1-5 Yrs,Not Disclosed Yet,"Artificial Intelligence, Tensorflow, Nlp, Machine Learning, Deep Learning, Python, Natural Language Processing, Intelligence"
Python Machine Learning Developer,Jp Infotech,Puducherry,0-2 Yrs,Not Disclosed Yet,"Machine Learning, Python, Deep Learning, Ai, Troubleshooting, Development, Artificial Intelligence, Machine"
Machine Learning Engineer,Cadfem Engineering Services,Hyderabad,1-4 Yrs,4-9 Lacs Pa,"Ml/Dl Engineer, Ai Engineer, Data Scientist, Applied Machine Learning, Machine Learning Engineer, F1-Score, Tensorflow, Data Preprocessing"
Machine Learning Engineer Intern,Evoastra Ventures,Hyderabad,2-4 Yrs,Not Disclosed Yet,"Python, C++, Project Management, C, Data Analysis, Natural Language Processing, Microsoft Azure, Aiml"
Machine Learning Engineer,Make Visions Outsourcing,Bengaluru,7-12 Yrs,22.5-30 Lacs Pa,"Mlops, Langchain, Machine Learning, Python, Ai Coding, Generative Ai, Agentic Ai, Coding"
Machine Learning Developer,Rmsi,Noida,3-7 Yrs,Not Disclosed Yet,"Computer Vision, Yolo, Unet, Feature Detection, Ssd, Rcnn, Segmentation, Image Analysis"
Sr Machine Learning Engineer,Xoom,Bengaluru,1-4 Yrs,Not Disclosed Yet,"Gcp, Diversity And Inclusion, Machine Learning, Manager Technology, Data Processing, Wellness, Deployment, Data Quality"
Sr Machine Learning Engineer,Xoom,"Chennai, Bengaluru",1-4 Yrs,Not Disclosed Yet,"Mining, Computer Science, Gcp, Diversity And Inclusion, Machine Learning, Data Processing, Wellness, Data Quality"
Data Scientist - Machine Learning/Artificial Intelligence,Leading Client,Hyderabad,5-7 Yrs,Not Disclosed Yet,"Data Scientist, Data Science, Mlops, Artificial Intelligence, Data Visualization, Data Modeling, Data Analytics, Looker"
Machine Learning Engineer,Accrete.Ai,Mumbai,3-8 Yrs,Not Disclosed Yet,"Computer Science, Deep Learning, Automation, Artificial Intelligence, Machine Learning, Medical Insurance, Open Source, Operations"
Software Engineer - Artificial Intelligence/Machine Learning,Rosemallow Technologies,"New Delhi, Delhi / Ncr",8-10 Yrs,Not Disclosed Yet,"Pytorch, Artificial Intelligence, Data Modeling, Data Analytics, Machine Learning, Tensorflow, Nlp, Generative Ai"
Machine Learning Engineer - Python/Tensorflow,Vayuz Technologies,Bengaluru,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Mlops, Big Data, Neural Networks, Scikit-Learn, Deep Learning, Python"
Software Engineer - Artificial Intelligence/Machine Learning,Rosemallow Technologies,Kolkata,5-8 Yrs,Not Disclosed Yet,"Artificial Intelligence, Tensorflow, Nlp, Generative Ai, Pytorch, Data Modeling, Data Analytics, Llm"
Software Engineer - Artificial Intelligence/Machine Learning,Rosemallow Technologies,Chennai,8-10 Yrs,Not Disclosed Yet,"Artificial Intelligence, Tensorflow, Nlp, Generative Ai, Pytorch, Data Modeling, Data Analytics, Llm"
Software Engineer - Artificial Intelligence/Machine Learning,Rosemallow Technologies,Mumbai,8-10 Yrs,Not Disclosed Yet,"Artificial Intelligence, Tensorflow, Nlp, Generative Ai, Pytorch, Data Modeling, Data Analytics, Llm"
Data Scientist - Machine Learning/Artificial Intelligence,Leading Client,Ahmedabad,5-7 Yrs,Not Disclosed Yet,"Machine Learning, Data Science, Mlops, Data Scientist, Artificial Intelligence, Data Visualization, Data Modeling, Data Analytics"
Sr Machine Learning Engineer,Xoom,"Chennai, Bengaluru",5-8 Yrs,Not Disclosed Yet,"Mining, Computer Science, Gcp, Diversity And Inclusion, Machine Learning, Data Processing, Wellness, Data Quality"
"Senior Staff Engineer, Machine Learning",Nagarro,Bengaluru,10-15 Yrs,Not Disclosed Yet,"Computer Science, Analytical Skills, Deep Learning, Data Science, Machine Learning, Wbs, Application Development, Continuous Improvement"
Senior Machine Learning Lead - Llm,Avalara Technologies,Pune,8-13 Yrs,Not Disclosed Yet,"Distribution System, Debugging Software, Design Patterns, Data Structures, Cloud Computing, Kubernetes, Continuous Integration, Python"
Senior Machine Learning Engineer,General Electric (Ge),Bengaluru,4-8 Yrs,Not Disclosed Yet,"Engineering Services, Product Management, Mining, Computer Science, Computer Vision, Process Improvement, Machine Learning, Robotics"
"Software Engineer, Machine Learning",Keeptruckin,Remote,5-10 Yrs,Not Disclosed Yet,"Computer Science, Computer Vision, Deep Learning, C++, Backend, Prototype, Machine Learning, Robotics"
Machine Learning Engineer,Medtek Dot Ai,Noida,1-3 Yrs,4-5 Lacs Pa,"Python, Artificial Intelligence, Machine Learning, Ml Algorithms, Machine, Algorithms, Ml, Intelligence"
Machine Learning Engineer - Python/Tensorflow,Vayuz Technologies,Thiruvananthapuram,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Mlops, Big Data, Neural Networks, Scikit-Learn, Deep Learning, Python"
Machine Learning Lead,Shashwath Solution,"Noida, Mumbai, Hyderabad",2-4 Yrs,Not Disclosed Yet,"Machine Learning, Artificial Intelligence, Data Bricks, Tensorflow, Machine Learning Algorithms, Python, Natural Language Processing, Team Management"
Staff Machine Learning Engineer,Xoom,"Chennai, Bengaluru",1-3 Yrs,Not Disclosed Yet,"Computer Science, System Architecture, Solution Design, Deep Learning, Architecture, Data Science, Diversity And Inclusion, Machine Learning"
Machine Learning Engineer - Python/Tensorflow,Vayuz Technologies,Pune,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Mlops, Big Data, Neural Networks, Scikit-Learn, Deep Learning, Python"
Lead Machine Learning Engineer,Uplers,Mumbai (All Areas),7-12 Yrs,Not Disclosed Yet,"Natural Language Processing, Nlp, Large Language Model, Artificial Intelligence, Neural Networks, Llm, Computer Vision, Machine Learning"
Data Scientist - Machine Learning/ Artificial Intelligence,Leading Client,Bengaluru,5-7 Yrs,Not Disclosed Yet,"Data Scientist, Data Science, Mlops, Artificial Intelligence, Data Visualization, Data Modeling, Data Analytics, Looker"
Machine Learning Engineer - Python/Tensorflow,Vayuz Technologies,Kolkata,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Mlops, Big Data, Neural Networks, Scikit-Learn, Deep Learning, Python"
Machine Learning Engineer - Python/Tensorflow,Vayuz Technologies,Chennai,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Mlops, Big Data, Neural Networks, Scikit-Learn, Deep Learning, Python"
Machine Learning Engineer - Python/Tensorflow,Vayuz Technologies,Lucknow,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Mlops, Big Data, Neural Networks, Scikit-Learn, Deep Learning, Python"
Machine Learning Engineer - Python/Tensorflow,Vayuz Technologies,Indore,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Mlops, Big Data, Neural Networks, Scikit-Learn, Deep Learning, Python"
Machine Learning Engineer - Python/Tensorflow,Vayuz Technologies,Bhopal,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Mlops, Big Data, Neural Networks, Scikit-Learn, Deep Learning, Python"
Machine Learning Engineer - Python/Tensorflow,Vayuz Technologies,Patna,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Mlops, Big Data, Neural Networks, Scikit-Learn, Deep Learning, Python"
Machine Learning Engineer - Python/Hadoop,Vayuz Technologies,Surat,4-5 Yrs,Not Disclosed Yet,"Python, Tensorflow, Hadoop, Big Data, Spark, Machine Learning, Data, Machine"
Machine Learning Engineer - Python/Hadoop,Vayuz Technologies,Chennai,4-5 Yrs,Not Disclosed Yet,"Python, Tensorflow, Hadoop, Big Data, Spark, Machine Learning, Data, Machine"
Machine Learning Engineer - Python/Hadoop,Vayuz Technologies,Pune,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Hadoop, Big Data, Spark, Python, Data, Machine"
Machine Learning Engineer - Python/Hadoop,Vayuz Technologies,Kolkata,4-5 Yrs,Not Disclosed Yet,"Machine Learning, Tensorflow, Hadoop, Big Data, Spark, Python, Data, Machine"
Senior Machine Learning Engineer,Snow Planet,Hyderabad,5-10 Yrs,Not Disclosed Yet,"Deep Learning, Continuous Integration, Automation Testing, Orchestration, Architecture, Machine Learning, Manager Technology, Deployment"
Azure Databricks Engineer Machine Learning,Suzva Software Technologies,"Mumbai, Delhi / Ncr, Bengaluru",3-5 Yrs,Not Disclosed Yet,"Azure, Gcp, Databricks, Aws, Pyspark, Pandas, Delta Lake, Kafka"
Ai / Ml Engineer / Machine Learning Engineer,It Services & Consulting,"Noida, Delhi / Ncr",4-6 Yrs,Not Disclosed Yet,"Machine Learning, Pytorch, Algorithms, Programming, Ml Frameworks, Statistics, Deep Learning, Tensorflow"
Machine Learning Developer,Wipro,Bengaluru,5-8 Yrs,Not Disclosed Yet,"Electrical Engineering, Machine Learning, Root Cause Analysis, System Study, Software Development Life Cycle, Natural Language Processing, Electrical Design, Business Analysis"
Sr Data Scientist - Advanced Machine Learning,Target,Bengaluru,3-4 Yrs,Not Disclosed Yet,"Hive, Python, Sql, Tensorflow, Hadoop, Kubernetes, Algorithms, Data Analysis"
